"COUNTYNAME","TOWNNAME","Votes_Total","TPP","DPP","KMT"
"彰化縣","福興鄉",26812,0.288825898851261,0.415038042667462,0.296136058481277
"彰化縣","秀水鄉",23320,0.30278730703259,0.380102915951973,0.317109777015437
"彰化縣","竹塘鄉",7992,0.245870870870871,0.444319319319319,0.30980980980981
"彰化縣","線西鄉",9771,0.334356770033773,0.309794289223212,0.355848940743015
"彰化縣","芬園鄉",13731,0.275507974655888,0.414754934090744,0.309737091253368
"彰化縣","花壇鄉",27243,0.302352897992145,0.350732298205043,0.346914803802812
"彰化縣","芳苑鄉",17307,0.240365170162362,0.433235107182065,0.326399722655573
"彰化縣","鹿港鎮",49492,0.285682534551039,0.415764163905278,0.298553301543684
"新北市","三峽區",66541,0.275228806299875,0.383057062562931,0.341714131137194
"新北市","三芝區",13168,0.234887606318348,0.370291616038882,0.39482077764277
"新北市","三重區",237583,0.264316049549,0.442443272456363,0.293240677994638
"新北市","中和區",258668,0.252470348090989,0.338174803222664,0.409354848686347
"新北市","五股區",55126,0.288466422377825,0.408446105286072,0.303087472336103
"新北市","八里區",24917,0.266444596058916,0.389854316330216,0.343701087610868
"新北市","土城區",146118,0.277946591111294,0.391108556098496,0.330944852790211
"新北市","坪林區",3990,0.171929824561404,0.508521303258145,0.319548872180451
"新北市","平溪區",2525,0.152475247524752,0.445544554455446,0.401980198019802
"新北市","新店區",191577,0.23566503285885,0.305114914629627,0.459220052511523
"新北市","新莊區",253483,0.281967627020352,0.416422403080285,0.301609969899362
"新北市","板橋區",339481,0.256523929174239,0.411940579885178,0.331535490940583
"新北市","林口區",74429,0.284794905211678,0.362184094909242,0.353020999879079
"新北市","樹林區",107446,0.277450998641178,0.406083055674478,0.316465945684344
"新北市","永和區",133094,0.234473379716591,0.319157888409695,0.446368731873713
"新北市","汐止區",129419,0.262588955253865,0.360101685223962,0.377309359522172
"新北市","泰山區",46291,0.279860015985829,0.397291050096131,0.32284893391804
"新北市","淡水區",116232,0.260023057333609,0.362826071993943,0.377150870672448
"新北市","深坑區",14742,0.243386243386243,0.377832044498711,0.378781712115045
"新北市","烏來區",3505,0.245078459343795,0.297289586305278,0.457631954350927
"新北市","瑞芳區",21719,0.246466227726875,0.358764215663705,0.39476955660942
"新北市","石碇區",4487,0.18809895252953,0.482282148428794,0.329618899041676
"新北市","石門區",6473,0.231886296925691,0.378804263865287,0.389309439209022
"新北市","萬里區",12175,0.194168377823409,0.471375770020534,0.334455852156057
"新北市","蘆洲區",119532,0.284266974534016,0.439472275206639,0.276260750259345
"新北市","貢寮區",6285,0.168178202068417,0.540334128878282,0.291487669053302
"新北市","金山區",12230,0.223793949304988,0.456909239574816,0.319296811120196
"新北市","雙溪區",4709,0.188150350392865,0.408791675514971,0.403057974092164
"新北市","鶯歌區",52535,0.287770058056534,0.400513943085562,0.311715998857904
"新竹市","北區",91900,0.334635473340588,0.358019586507073,0.307344940152339
"新竹市","東區",126753,0.349743201344347,0.32911252593627,0.321144272719383
"新竹市","香山區",47736,0.341461370873136,0.37835176805765,0.280186861069214
"新竹縣","五峰鄉",2352,0.235544217687075,0.167517006802721,0.596938775510204
"新竹縣","北埔鄉",5357,0.299421317901811,0.235766287100989,0.4648123949972
"新竹縣","寶山鄉",9332,0.325975139305615,0.275396485212173,0.398628375482212
"新竹縣","尖石鄉",4343,0.285516923785402,0.172691687773428,0.54179138844117
"新竹縣","峨眉鄉",3385,0.247562776957164,0.30192023633678,0.450516986706056
"新竹縣","新埔鎮",20986,0.326122176689221,0.300057180977795,0.373820642332984
"新竹縣","新豐鄉",33634,0.372777546530297,0.276149134804067,0.351073318665636
"新竹縣","橫山鄉",7563,0.286923178632818,0.232050773502578,0.481026047864604
"新竹縣","湖口鄉",47610,0.361667716866205,0.24975845410628,0.388573829027515
"新竹縣","竹北市",119889,0.383312897763765,0.309903327244368,0.306783774991867
"新竹縣","竹東鎮",56440,0.356254429482636,0.230297661233168,0.413447909284196
"新竹縣","芎林鄉",12889,0.333229885949259,0.25098921561021,0.415780898440531
"新竹縣","關西鎮",16530,0.277011494252874,0.283847549909256,0.439140955837871
"桃園市","中壢區",254621,0.309302846191005,0.325707620345533,0.364989533463461
"桃園市","八德區",123720,0.306660200452635,0.342903330100226,0.350436469447139
"桃園市","大園區",49386,0.306868343255174,0.406005750617584,0.287125906127243
"桃園市","大溪區",55288,0.274254811170598,0.402058312834611,0.323686875994791
"桃園市","平鎮區",135944,0.31561525333961,0.331151062202083,0.353233684458306
"桃園市","復興區",6322,0.263524201202151,0.226826953495729,0.50964884530212
"桃園市","新屋區",30143,0.282619513651594,0.406993331785157,0.310387154563249
"桃園市","桃園區",273373,0.299202920551774,0.3660968713077,0.334700208140526
"桃園市","楊梅區",103814,0.328433544608627,0.31548731384977,0.356079141541603
"桃園市","蘆竹區",97079,0.30003399293359,0.399262456349983,0.300703550716427
"桃園市","觀音區",42060,0.315145030908226,0.411816452686638,0.273038516405136
"桃園市","龍潭區",74646,0.302936527074458,0.307397583259652,0.38966588966589
"桃園市","龜山區",104396,0.311688187286869,0.366153875627419,0.322157937085712
"澎湖縣","七美鄉",1085,0.224884792626728,0.35852534562212,0.416589861751152
"澎湖縣","望安鄉",1512,0.183201058201058,0.505291005291005,0.311507936507937
"澎湖縣","湖西鄉",7816,0.25,0.438587512794268,0.311412487205732
"澎湖縣","白沙鄉",4076,0.201422963689892,0.398429833169774,0.400147203140334
"澎湖縣","西嶼鄉",3542,0.209768492377188,0.428853754940711,0.3613777526821
"澎湖縣","馬公市",31246,0.261249439928311,0.361614286628688,0.377136273443001
"臺中市","中區",9446,0.24211306373068,0.425788693626932,0.332098242642388
"臺中市","北區",87743,0.278107655311535,0.371231893142473,0.350660451545992
"臺中市","北屯區",181508,0.307137977389426,0.354750203847764,0.338111818762809
"臺中市","南區",78438,0.304291287386216,0.375812743823147,0.319895968790637
"臺中市","南屯區",107666,0.300512696673044,0.374500770902606,0.324986532424349
"臺中市","后里區",32523,0.305783599298958,0.35854625957015,0.335670141130892
"臺中市","和平區",6105,0.242260442260442,0.234070434070434,0.523669123669124
"臺中市","外埔區",19147,0.321199143468951,0.336240664333838,0.342560192197211
"臺中市","大安區",11210,0.308831400535236,0.384299732381802,0.306868867082962
"臺中市","大甲區",44237,0.310803173813776,0.378732735040803,0.310464091145421
"臺中市","大肚區",34623,0.294746266932386,0.370793980879762,0.334459752187852
"臺中市","大里區",125596,0.313831650689512,0.38674002356763,0.299428325742858
"臺中市","大雅區",56681,0.314867415888922,0.36132037190593,0.323812212205148
"臺中市","太平區",115192,0.313207514410723,0.373541565386485,0.313250920202792
"臺中市","新社區",14416,0.254786348501665,0.386445615982242,0.358768035516093
"臺中市","東勢區",29589,0.254148501132178,0.344486126601102,0.401365372266721
"臺中市","東區",47747,0.286510147234381,0.403920665172681,0.309569187592938
"臺中市","梧棲區",35360,0.322369909502262,0.382211538461538,0.295418552036199
"臺中市","沙鹿區",58416,0.326211996713229,0.358275130101342,0.315512873185429
"臺中市","清水區",53635,0.301556819241167,0.40482893632889,0.293614244429943
"臺中市","潭子區",66300,0.308129713423831,0.376078431372549,0.31579185520362
"臺中市","烏日區",49125,0.307521628498728,0.380661577608143,0.31181679389313
"臺中市","石岡區",8983,0.257597684515195,0.362128464878103,0.380273850606702
"臺中市","神岡區",39733,0.295547781441119,0.418694787707951,0.28575743085093
"臺中市","西區",68422,0.265791704422554,0.403919791879805,0.330288503697641
"臺中市","西屯區",137799,0.301555163680433,0.360038897234378,0.338405939085189
"臺中市","豐原區",100183,0.286625475380055,0.405837317708593,0.307537206911352
"臺中市","霧峰區",40088,0.282628217920575,0.38592596288166,0.331445819197765
"臺中市","龍井區",47292,0.320413600608982,0.364099636302123,0.315486763088895
"臺北市","中山區",133254,0.226837468293635,0.408603118855719,0.364559412850646
"臺北市","中正區",88207,0.241228020451892,0.365005044951081,0.393766934597027
"臺北市","信義區",129842,0.232066665639778,0.359159593968053,0.408773740392169
"臺北市","內湖區",170717,0.261233503400364,0.359302237035562,0.379464259564074
"臺北市","北投區",148783,0.241795097558189,0.41100797806201,0.347196924379801
"臺北市","南港區",71653,0.265264538819031,0.36449276373634,0.370242697444629
"臺北市","士林區",166048,0.227536615918289,0.432820630179225,0.339642753902486
"臺北市","大同區",74106,0.249439991363722,0.462445685909373,0.288114322726905
"臺北市","大安區",171244,0.209694938216813,0.364281376281797,0.42602368550139
