"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,20,"291238","291233","309"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,21,"291233","291229","240.93"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,22,"291229","291239","247.58"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,23,"291239","291224","279.14"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,24,"291224","291228","311.12"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,25,"291228","291227","210.5"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,26,"291227","291250","391.27"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,27,"291250","291249","282.84"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,28,"291249","291232","348.17"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,29,"291232","291231","280.63"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,30,"291231","291261","379.57"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,31,"291261","291278","343.13"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,32,"291278","291279","255.6"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,33,"291279","291257","323.51"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,34,"291257","291258","184.14"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,35,"291258","291254","318.75"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,36,"291254","291269","187.47"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,37,"291269","293791","239.62"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,38,"293791","304425","161.28"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,39,"304425","291268","371.08"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,40,"291268","291274","720.25"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,41,"291274","291267","192.14"
